Status settings, Statusinstellingen
Confirmed order status:,Bevestigde bestelstatus:
Define the status for orders which have been successfully completed by SOFORT Banking.,(Definieer de status voor bestellingen die door SOFORT Banking succesvol afgesloten zijn.)
Not create invoice,Geen factuur aanmaken
(not recommended),(wordt afgeraden)
Not update status,Geen actualisering van de status uitvoeren
Order status for full refunds:,Bestelstatus voor complete terugbetalingen:
Define the status for orders which have been prepared for full refunds in the SOFORT AG merchant menu. Bear in mind that refunds usually have to be carried out manually.,(Definieer de status voor bestellingen die compleet in het aanbiedermenu van SOFORT AG als terugboeking werden gemarkeerd. Houdt u er rekening mee dat terugboekingen over het algemeen daar manueel moeten worden uitgevoerd.
Order status for payment receipt:,Bestelstatus voor betaling:
(Define the status of orders for which payment has been received on your SOFORT Bank account. A SOFORT Bank account is required.),(Definieer de status voor bestellingen waarvoor een betaling op uw SOFORT bankrekening wordt vastgesteld. Hiervoor is een SOFORT bankrekening nodig.)
Order status for losses:,Bestelstatus voor niet voldane betalingen:
(Define the status of orders for which no payment or a different amount has been received on your SOFORT Bank account. A SOFORT Bank account is required.),(Definieer de status voor bestelling waarvoor geen betaling wordt vastgesteld of een afwijkend bedrag op uw SOFORT bankrekening is binnengekomen. Hiervoor is een SOFORT bankrekening nodig.)
Internal transaction ID of SOFORT AG: %s (please specify for support requests).,Interne transactie-ID van SOFORT AG:  %s (gelieve aan te geven bij support-aanvragen).
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]","Doorsturing naar SOFORT Banking. Betaling nog niet afgesloten. Transactie-ID: [[transaction_id]]. Tijd [[date]] uur"
"Payment aborted. Time: %s","Betaling geannuleerd. Tijd: %s uur"
"SOFORT Banking has been completed successfully - Transaction ID: [[transaction_id]]. Time: [[date]]","SOFORT Banking succesvol afgesloten - transactie-ID: [[transaction_id]]. Tijd [[date]] uur"
"The payment has not been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Er kon geen betaling op de SOFORT bankrekening worden vastgesteld. Controleer de betaling a.u.b. Tijd: [[date]] uur"
"The payment has been received on your SOFORT Bank account. Time: [[date]]","Bedrag is binnengekomen op de SOFORT bankrekening. Tijd: [[date]] uur"
"An amount differing from the order has been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Er werd een van de bestelling afwijkend bedrag op de SOFORT bankrekening vastgesteld. Controleer de betaling a.u.b. Tijd: [[date]] uur"
"Partial amount will be refunded - [[refunded_amount]]. Time: [[date]]","Deel van het bedrag wordt terugbetaald - [[refunded_amount]]. Tijd: [[date]] uur"
"Amount will be refunded. Time: [[date]]","Bedrag wordt terugbetaald. Tijd [[date]] uur"
Select the time of invoicing,Kies het tijdstip voor het opstellen van de factuur:
It is not recommended to change this setting,(Er wordt afgeraden om deze instelling te veranderen)
After finishing the payment,Na het afronden van de betaling
The receipt of the money ( can be only detected with an account with SOFORT Bank),Bij de ontvangst van het bedrag (kan alleen met SOFORT bankrekening worden vastgesteld)
"If the status shouldn't be updated for this event, please choose as status %s","Wanneer er geen actualisering van de status voor dit event moet worden uitgevoerd, kies dan als status %s"
Create credit memo automatically,Creditnota automatisch aanmaken
A credit memo will be created automatically if a transaction was refunded by using the SOFORT panel.,Er wordt automatisch een creditnota aangemaakt wanneer er een transactie in het SOFORT systeem teruggeboekt wordt.
en,nl
"Send order confirmation","Bestelbevestiging sturen"
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]", "Doorsturing naar SOFORT Banking. Betaling nog niet afgesloten. Transactie-ID: [[transaction_id]]. Tijd [[date]] uur"
