Status settings, Ustawienia dotyczące statusu 
"Please adjust these settings only if you are familiar with status handling of Magento, as this may have unpredictable effects on your shop and other modules might no longer work properly. Additional information can be found in our manual.","Prosimy o ostrożne dokonywanie zmian w tych ustawieniach i jedynie w przypadku, gdy dobrze wiesz, jak się zmienia status Magento. Wprowadzone zmiany mogą być nieprzewidywalne w skutkach dla Twojego sklepu, a pozostałe moduły mogą przestać działać poprawnie. Więcej informacji na ten temat znajdziesz w naszym podręczniku"
Temporary order status:,Tymczasowy status zamówienia:
Define the status for orders which have not been paid yet.,"(Zdefiniuj status zamówień, za które jeszcze nie zapłacono.)"
Aborted order status:,Status dla zamówienia przerwanego:
Confirmed order status:,Status dla zamówienia potwierdzonego:
Define the status for orders which have been successfully completed by SOFORT Banking.,(Zdefiniuj status zamówień zakończonych pomyślnie z Sofort Banking)
Not create invoice,Bez wystawiania rachunku
(not recommended),(nie zaleca się)
Not update status,Bez aktualizacji statusu
Order status for full refunds:,Status zamówienia w przypadku całkowitego zwrotu zapłaconej kwoty:
Define the status for orders which have been prepared for full refunds in the SOFORT AG merchant menu. Bear in mind that refunds usually have to be carried out manually.,"Zdefiniuj status dla zamówień, które w menu sprzedawcy w SOFORT AG zostały zaznaczone w celu dokonania przelewu zwrotnego całości zapłaconej sumy. Pamiętaj, że przelewy zwrotne z reguły muszą być tam przeprowadzone ręcznie.)"
Order status for payment receipt:,Status zamówienia w przypadku wpływu pieniędzy:
(Define the status of orders for which payment has been received on your SOFORT Bank account. A SOFORT Bank account is required.),"(zdefiniuj status dla zamówień, dla których odnotowano wpływ pieniędzy na Twoim koncie w SOFORT Banku. Wymagane konto w SOFORT Banku.)"
Order status for losses:,Status zamówienia w przypadku braku płatności:
(Define the status of orders for which no payment or a different amount has been received on your SOFORT Bank account. A SOFORT Bank account is required.),"(Zdefiniuj status dla zamówień, dla których nie odnotowano wpływu pieniędzy lub też gdy na konto w  SOFORT Banku wpłynęła inna kwota. Wymagane konto w SOFORT Banku.)"
Internal transaction ID of SOFORT AG: %s (please specify for support requests).,Wewnętrzny numer transakcji nadany przez SOFORT AG:  %s (podaj w przypadku pytań do działu obsługi klienta).
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]","Przekierowanie do SOFORT Banking. Płatność nie została jeszcze zakończona. Numer transakcji: [[transaction_id]]. Godzina: [[date]]"
"Payment aborted. Time: %s","Płatność przerwana. Godzina: %s"
"SOFORT Banking has been completed successfully - Transaction ID: [[transaction_id]]. Time: [[date]]","Pomyślnie dokonany przelew z SOFORT Banking - numer transakcji: [[transaction_id]]. Godzina: [[date]]"
"The payment has not been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Nie odnotowano wpływu pieniędzy na koncie w SOFORT Banku. Sprawdź proszę szczegóły płatności. Godzina: [[date]]"
"The payment has been received on your SOFORT Bank account. Time: [[date]]","Kwota wpłynęła na konto w SOFORT Banku Godzina: [[date]]"
"An amount differing from the order has been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Na konto w SOFORT Banku wpłynęła inna kwota, niż kwota zamówienia. Sprawdź proszę szczegóły płatności. Godzina: [[date]]"
"Partial amount will be refunded - [[refunded_amount]]. Time: [[date]]","Część kwoty zostanie zwrócona - [[refunded_amount]]. Godzina: [[date]]"
"Amount will be refunded. Time: [[date]]","Kwota zostanie zwrócona. Godzina: [[date]]"
Select the time of invoicing,Wybierz datę wystawienia rachunku:
It is not recommended to change this setting,(nie zaleca się dokonywania zmian w tym ustawieniu)
After finishing the payment,Po zakończeniu płatności
The receipt of the money ( can be only detected with an account with SOFORT Bank),W momencie otrzymania pieniędzy (moment ten można stwierdzić tylko z kontem SOFORT Bank) (w SOFORT Banku)
"If the status shouldn't be updated for this event, please choose as status %s","Jeżeli status tego wydarzenia nie ma być aktualizowany, jako status wybierz  %s"
Create credit memo automatically,Wygeneruj automatycznie notę uznaniową
A credit memo will be created automatically if a transaction was refunded by using the SOFORT panel.,Jeżeli transakcja została zaznaczona do przelewu zwrotnego w systemie SOFORT, nota uznaniowa zostanie wygenerowana automatycznie.
en,pl
"Send order confirmation","Wysłać potwierdzenie zamówienia"
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]", "Przekierowanie do SOFORT Banking. Płatność nie została jeszcze zakończona. Numer transakcji: [[transaction_id]]. Godzina: [[date]]"
