Status settings, Statuseinstellungen
"The following placeholders are allowed:<br/><ul>
<li>Order number:  {{orderid}}</li>
<li>Customer name: {{name}}</li>
<li>Date: {{date}}</li>
<li>Shop name: {{shopname}}</li>
<li>Transaction: {{transaction}}</li></ul>","Folgende Platzhalter sind erlaubt:<br/><ul>
<li>Bestellnummer:  {{orderid}}</li>
<li>Kundenname: {{name}}</li>
<li>Datum: {{date}}</li>
<li>Shopname: {{shopname}}</li>
<li>Transaction: {{transaction}}</li></ul>"
"Please adjust these settings only if you are familiar with status handling of Magento, as this may have unpredictable effects on your shop and other modules might no longer work properly. Additional information can be found in our manual.","Bitte nehmen Sie nur Anpassungen an diesen Einstellungen vor, wenn Sie mit der Statusbehandlung von Magento vertraut sind, da dies unvorhersehbare Auswirkungen auf Ihren Shop haben kann und andere Module möglicherweiße nicht mehr ordnungsgemäß funktionieren. Weitere Informationen finden Sie in unserem Handbuch."
Temporary order status:,Temporärer Bestellstatus:
Define the status for orders which have not been paid yet.,"(Definieren Sie den Status für Bestellungen, die noch nicht bezahlt wurden.)"
Aborted order status:,Abgebrochener Bestellstatus:
Confirmed order status:,Bestätigter Bestellstatus:
Define the status for orders which have been successfully completed by SOFORT Banking.,"(Definieren Sie den Status für Bestellungen, die mit SOFORT Überweisungen erfolgreich abgeschlossen wurden.)"
Not create invoice,Keine Rechnung erstellen
(not recommended),(nicht empfohlen)
Not update status,Keine Statusaktualisierung durchführen
Order status for full refunds:,Bestellstatus für vollständige Erstattungen:
Define the status for orders which have been prepared for full refunds in the SOFORT AG merchant menu. Bear in mind that refunds usually have to be carried out manually.,"Definieren Sie den Status für Bestellungen, die vollständig im Anbietermenü der SOFORT AG zur Rückbuchung vorgemerkt wurden. Beachten Sie, dass Rückbuchungen i.d.R. dort manuell zur Ausführung gebracht werden müssen.)"
Order status for payment receipt:,Bestellstatus für Geldeingang:
(Define the status of orders for which payment has been received on your SOFORT Bank account. A SOFORT Bank account is required.),"(Definieren Sie den Status für Bestellungen, für die ein Geldeingang auf Ihrem SOFORT Bank-Konto festgestellt wurde. Benötigt ein SOFORT Bank-Konto.)"
Order status for losses:,Bestellstatus für Zahlungsausfälle:
(Define the status of orders for which no payment or a different amount has been received on your SOFORT Bank account. A SOFORT Bank account is required.),"(Definieren Sie den Status für Bestellungen, für die kein Geldeingang festgestellt wurde oder ein abweichender Betrag auf Ihrem SOFORT Bank-Konto eingegangen ist. Benötigt ein SOFORT Bank-Konto.)"
Internal transaction ID of SOFORT AG: %s (please specify for support requests).,Interne Transaktions-ID von SOFORT AG: %s (bitte angeben bei Support-Anfragen).
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]","Weiterleitung zu SOFORT Überweisung. Zahlung noch nicht abgeschlossen. Transaktions-ID: [[transaction_id]]. Zeit: [[date]] Uhr"
"Payment aborted. Time: %s","Bezahlung abgebrochen. Zeit: %s Uhr"
"SOFORT Banking has been completed successfully - Transaction ID: [[transaction_id]]. Time: [[date]]","SOFORT Überweisung erfolgreich abgeschlossen - Transaktions-ID: [[transaction_id]]. Zeit: [[date]] Uhr"
"The payment has not been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Es konnte kein Geldeingang auf dem SOFORT Bank-Konto festgestellt werden. Bitte überprüfen Sie die Bezahlung. Zeit: [[date]] Uhr"
"The payment has been received on your SOFORT Bank account. Time: [[date]]","Betrag ist auf dem SOFORT Bank-Konto eingegangen Zeit: [[date]] Uhr"
"An amount differing from the order has been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Es wurde ein von der Bestellung abweichender Betrag auf dem SOFORT Bank-Konto festgestellt. Bitte überprüfen Sie die Bezahlung. Zeit: [[date]] Uhr"
"Partial amount will be refunded - [[refunded_amount]]. Time: [[date]]","Teilbetrag wird erstattet - [[refunded_amount]]. Zeit: [[date]] Uhr"
"Amount will be refunded. Time: [[date]]","Betrag wird erstattet. Zeit: [[date]] Uhr"
Select the time of invoicing,Wählen Sie den Zeitpunkt der Rechnungserstellung:
It is not recommended to change this setting,(Es wird nicht empfohlen diese Einstellung zu verändern)
After finishing the payment,Nach Abschluss der Zahlung
The receipt of the money ( can be only detected with an account with SOFORT Bank),Bei Erhalt des Geldes (kann nur mit SOFORT Bank-Konto festgestellt werden)
"If the status shouldn't be updated for this event, please choose as status %s","Wenn keine Statusaktualisierung für dieses Event durchgeführt werden soll, wählen Sie als Status %s"
Create credit memo automatically,Gutschrift automatisch erstellen
A credit memo will be created automatically if a transaction was refunded by using the SOFORT panel.,"Es wird automatisch eine Gutschrift  erstellt, wenn einer Transaktion im SOFORT System zurückgebucht wurde."
en,de
"Send order confirmation","Bestellbestätigung senden"
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]", "Weiterleitung zu SOFORT Überweisung. Zahlung noch nicht abgeschlossen. Transaktions-ID: [[transaction_id]]. Zeit: [[date]] Uhr"
