Status settings, Configuration du statut
"The following placeholders are allowed:<br/><ul>
<li>Order number:  {{orderid}}</li>
<li>Customer name: {{name}}</li>
<li>Date: {{date}}</li>
<li>Shop name: {{shopname}}</li>
<li>Transaction: {{transaction}}</li></ul>","Caractères de remplacement autorisés :<br/><ul>
<li>Numéro de commande: {{orderid}}</li>
<li>Le client: {{name}}</li>
<li>Date de la facture: {{date}}</li>
<li>Shopname: {{shopname}}</li>
<li>Transaction: {{transaction}}</li></ul>"
"Please adjust these settings only if you are familiar with status handling of Magento, as this may have unpredictable effects on your shop and other modules might no longer work properly. Additional information can be found in our manual.","Veuillez ne modifier les configurations que si vous avez l'habitude de traiter les statuts avec Magento. Dans le cas contraire, ces modifications risquent d'avoir un effet imprévu sur votre système de vente et les autres modules, et le cas échéant, de ne plus fonctionner correctement. Vous trouverez de plus amples informations dans notre manuel."
Temporary order status:,État de commande temporaire:
Define the status for orders which have not been paid yet.,(Définissez l'état pour commandes qui n'ont pas encore été payées.)
Aborted order status:,État de commande annulé :
Confirmed order status:,État de commande confirmé:
Define the status for orders which have been successfully completed by SOFORT Banking.,(Définissez l'état pour commandes qui ont été complétées avec succès par SOFORT Banking.)
Not create invoice,Ne pas émettre de facture
(not recommended),(non recommandé)
Not update status,Ne pas effectuer de mise à jour de l'état
Order status for full refunds:,État de commande pour les remboursements complets :
Define the status for orders which have been prepared for full refunds in the SOFORT AG merchant menu. Bear in mind that refunds usually have to be carried out manually.,Définissez l'état des commandes retenues pour un remboursement complet au menu commerçant de SOFORT AG. Veuillez noter qu'il s'agit généralement de remboursements à effectuer manuellement.
Order status for payment receipt:,État de commande pour les entrées d'argent :
(Define the status of orders for which payment has been received on your SOFORT Bank account. A SOFORT Bank account is required.),(Définissez l'état des commandes pour lesquelles une entrée d'argent a été constatée sur votre compte SOFORT Bank. Nécessite un compte SOFORT Bank.)
Order status for losses:,État de commande pour les défauts de paiement :
(Define the status of orders for which no payment or a different amount has been received on your SOFORT Bank account. A SOFORT Bank account is required.),(Définissez l'état des commandes pour lesquelles aucune entrée d'argent n'a été constatée ou pour lesquelles un montant divergent a été constaté sur votre compte SOFORT Bank. Nécessite un compte SOFORT Bank.)
Internal transaction ID of SOFORT AG: %s (please specify for support requests).,N° de transaction SOFORT : %s (prier d'indiquer en cas de questions au support).
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]","Redirection vers SOFORT Banking. Paiement pas encore terminé. N° de transaction : [[transaction_id]]. Heure : [[date]] heures"
"Payment aborted. Time: %s","Paiement interrompu. Heure : %s heures"
"SOFORT Banking has been completed successfully - Transaction ID: [[transaction_id]]. Time: [[date]]","Virement avec SOFORT Banking effectué avec succès. N° de transaction : [[transaction_id]]. Heure : [[date]] heures"
"The payment has not been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Aucune entrée d'argent sur le compte SOFORT Bank n'a pu être constatée. Veuillez vérifier le paiement. Heure : [[date]] heures"
"The payment has been received on your SOFORT Bank account. Time: [[date]]","Le montant a été viré sur le compte SOFORT Bank. Heure : [[date]] heures"
"An amount differing from the order has been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Le montant viré sur le compte SOFORT Bank ne correspond pas au montant de la commande. Veuillez vérifier le paiement. Heure : [[date]] heures"
"Partial amount will be refunded - [[refunded_amount]]. Time: [[date]]","Remboursement partiel du montant - [[refunded_amount]]. Heure : [[date]] heures"
"Amount will be refunded. Time: [[date]]","Remboursement du montant. Heure : [[date]] heures"
Select the time of invoicing,Sélectionnez le moment de l'émission de la facture :
It is not recommended to change this setting,(il n'est pas recommandé de ne modifier cette configuration)
After finishing the payment,Une fois le paiement effectué
The receipt of the money ( can be only detected with an account with SOFORT Bank),La réception du paiement (ne peut être constaté qu'avec un compte SOFORT Bank)
"If the status shouldn't be updated for this event, please choose as status %s","Si aucune mise à jour de statut ne doit être effectuée pour cet événement, choisissez le statut %s."
Create credit memo automatically,Générer un avoir automatiquement
A credit memo will be created automatically if a transaction was refunded by using the SOFORT panel.,Un avoir est généré automatiquement lorsqu'une transaction a été remboursée dans le système SOFORT.
en,fr
"Send order confirmation","Envoyer la confirmation de commande"
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]", "Redirection vers SOFORT Banking. Paiement pas encore terminé. N° de transaction : [[transaction_id]]. Heure : [[date]] heures"
