Status settings, Impostazioni dello stato
"Partial amount will be refunded - [[refunded_amount]]. Time: [[date]]","Részösszeg megtérítve - [[refunded_amount]]. Idő: [[date]] óra"
"Amount will be refunded. Time: [[date]]","Összeg megtérítve. Idő: [[date]] óra"
Select the time of invoicing,Selezioni il momento della fatturazione:
It is not recommended to change this setting,(non è consigliabile modificare questa impostazione)
After finishing the payment,A pagamento terminato
The receipt of the money ( can be only detected with an account with SOFORT Bank),A ricezione dell'importo (può essere accertato solo con un conto con SOFORT Bank)
"If the status shouldn't be updated for this event, please choose as status %s","Se lo stato di questo evento non deve essere attualizzato, selezioni lo stato %s"
Create credit memo automatically,Crei l'accredito automaticamente
A credit memo will be created automatically if a transaction was refunded by using the SOFORT panel.,Viene creato automaticamente un accredito se una transazione è stata rimborsata nel sistema SOFORT.
en,it
"Send order confirmation","Invia conferma d'ordine"
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]", "Inoltro a SOFORT Banking. Pagamento non ancora terminato. ID transazione: [[transaction_id]]. Data e ora: [[date]]"
